question_id,subject,topic,concept,text,option_a,option_b,option_c,option_d,correct_option,difficulty_label,correct_count,wrong_count,avg_time
1,Intro Python,Variables & Arithmetic,Integer addition,What is the output of: print(1 + 1)?,2,4,3,1,option_a,easy,80,20,20
2,Intro Python,Variables & Arithmetic,Integer addition,What is the output of: print(4 + 2)?,7,8,5,6,option_d,easy,80,20,20
3,Intro Python,Variables & Arithmetic,Integer addition,What is the output of: print(7 + 2)?,10,11,9,8,option_c,easy,80,20,20
4,Intro Python,Variables & Arithmetic,Integer addition,What is the output of: print(7 + 6)?,14,13,12,15,option_b,easy,80,20,20
5,Intro Python,Variables & Arithmetic,Integer addition,What is the output of: print(3 + 6)?,11,9,10,8,option_b,easy,80,20,20
6,Intro Python,Variables & Arithmetic,Integer addition,What is the output of: print(7 + 6)?,13,15,12,14,option_a,easy,80,20,20
7,Intro Python,Variables & Arithmetic,Integer addition,What is the output of: print(8 + 2)?,12,9,11,10,option_d,easy,80,20,20
8,Intro Python,Variables & Arithmetic,Integer addition,What is the output of: print(9 + 6)?,14,17,15,16,option_c,easy,80,20,20
9,Intro Python,Variables & Arithmetic,Integer addition,What is the output of: print(8 + 6)?,14,15,13,16,option_a,easy,80,20,20
10,Intro Python,Variables & Arithmetic,Integer addition,What is the output of: print(2 + 6)?,8,9,10,7,option_a,easy,80,20,20
11,Intro Python,Loops,for loop over range,What is the final value of 'total' after executing this code?\ntotal = 0\nfor i in range(3):\n    total += i,2,5,3,4,option_c,medium,60,40,35
12,Intro Python,Loops,for loop over range,What is the final value of 'total' after executing this code?\ntotal = 0\nfor i in range(6):\n    total += i,14,17,15,16,option_c,medium,60,40,35
13,Intro Python,Loops,for loop over range,What is the final value of 'total' after executing this code?\ntotal = 0\nfor i in range(7):\n    total += i,22,20,21,23,option_c,medium,60,40,35
14,Intro Python,Loops,for loop over range,What is the final value of 'total' after executing this code?\ntotal = 0\nfor i in range(3):\n    total += i,4,3,5,2,option_b,medium,60,40,35
