question_id,subject,topic,concept,text,option_a,option_b,option_c,option_d,correct_option,difficulty_label,correct_count,wrong_count,avg_time
1,Nhập môn Python,Biến và số học,Cộng số nguyên,Kết quả của lệnh sau là gì: print(1 + 1)?,2,4,3,1,option_a,easy,80,20,20
2,Nhập môn Python,Biến và số học,Cộng số nguyên,Kết quả của lệnh sau là gì: print(4 + 2)?,7,8,5,6,option_d,easy,80,20,20
3,Nhập môn Python,Biến và số học,Cộng số nguyên,Kết quả của lệnh sau là gì: print(7 + 2)?,10,11,9,8,option_c,easy,80,20,20
4,Nhập môn Python,Biến và số học,Cộng số nguyên,Kết quả của lệnh sau là gì: print(7 + 6)?,14,13,12,15,option_b,easy,80,20,20
5,Nhập môn Python,Biến và số học,Cộng số nguyên,Kết quả của lệnh sau là gì: print(3 + 6)?,11,9,10,8,option_b,easy,80,20,20
6,Nhập môn Python,Biến và số học,Cộng số nguyên,Kết quả của lệnh sau là gì: print(8 + 2)?,12,9,11,10,option_d,easy,80,20,20
7,Nhập môn Python,Biến và số học,Cộng số nguyên,Kết quả của lệnh sau là gì: print(9 + 6)?,14,17,15,16,option_c,easy,80,20,20
8,Nhập môn Python,Biến và số học,Cộng số nguyên,Kết quả của lệnh sau là gì: print(8 + 6)?,14,15,13,16,option_a,easy,80,20,20
9,Nhập môn Python,Biến và số học,Cộng số nguyên,Kết quả của lệnh sau là gì: print(2 + 6)?,8,9,10,7,option_a,easy,80,20,20
10,Nhập môn Python,Vòng lặp,Vòng lặp for với range,Giá trị cuối cùng của 'total' sau khi chạy đoạn mã sau là bao nhiêu?\ntotal = 0\nfor i in range(3):\n    total += i,2,5,3,4,option_c,medium,60,40,35
11,Nhập môn Python,Vòng lặp,Vòng lặp for với range,Giá trị cuối cùng của 'total' sau khi chạy đoạn mã sau là bao nhiêu?\ntotal = 0\nfor i in range(6):\n    total += i,14,17,15,16,option_c,medium,60,40,35
12,Nhập môn Python,Vòng lặp,Vòng lặp for với range,Giá trị cuối cùng của 'total' sau khi chạy đoạn mã sau là bao nhiêu?\ntotal = 0\nfor i in range(7):\n    total += i,22,20,21,23,option_c,medium,60,40,35
13,Nhập môn Python,Vòng lặp,Vòng lặp for với range,Giá trị cuối cùng của 'total' sau khi chạy đoạn mã sau là bao nhiêu?\ntotal = 0\nfor i in range(4):\n    total += i,6,8,7,5,option_a,medium,60,40,35
14,Nhập môn Python,Hàm và đệ quy,Đệ quy tính giai thừa,Hàm sau sẽ trả về giá trị nào khi n = 4?\ndef f(n):\n    if n == 0:\n        return 1\n    return n * f(n-1),23,24,25,12,option_b,hard,30,70,50
15,Nhập môn Python,Hàm và đệ quy,Đệ quy tính giai thừa,Hàm sau sẽ trả về giá trị nào khi n = 5?\ndef f(n):\n    if n == 0:\n        return 1\n    return n * f(n-1),121,120,60,119,option_b,hard,30,70,50
16,Nhập môn Python,Hàm và đệ quy,Đệ quy tính giai thừa,Hàm sau sẽ trả về giá trị nào khi n = 3?\ndef f(n):\n    if n == 0:\n        return 1\n    return n * f(n-1),3,5,7,6,option_d,hard,30,70,50
17,Nhập môn Python,Hàm và đệ quy,Đệ quy tính giai thừa,Hàm sau sẽ trả về giá trị nào khi n = 6?\ndef f(n):\n    if n == 0:\n        return 1\n    return n * f(n-1),721,720,719,360,option_b,hard,30,70,50
18,Cấu trúc dữ liệu & Giải thuật,Cấu trúc dữ liệu cơ bản,Hàng đợi (Queue),Cấu trúc dữ liệu nào hoạt động theo nguyên lý vào trước ra trước (FIFO)?,Stack (ngăn xếp),Queue (hàng đợi),Tree (cây),Graph (đồ thị),option_b,easy,85,15,18
19,Cấu trúc dữ liệu & Giải thuật,Cấu trúc dữ liệu cơ bản,Ngăn xếp (Stack),Cấu trúc dữ liệu nào phù hợp nhất để hiện thực đệ quy?,Mảng (Array),Queue (hàng đợi),Stack (ngăn xếp),Heap,option_c,easy,85,15,18
20,Cấu trúc dữ liệu & Giải thuật,Cấu trúc dữ liệu cơ bản,Bảng băm (Hash map),Cấu trúc dữ liệu nào lưu trữ các cặp khóa - giá trị?,Mảng (Array),Danh sách liên kết,Từ điển / Bản đồ (Dictionary / Map),Queue (hàng đợi),option_c,easy,85,15,18
21,Cấu trúc dữ liệu & Giải thuật,Phân tích độ phức tạp,Độ phức tạp thời gian,Độ phức tạp thời gian của thuật toán tìm kiếm tuyến tính trên mảng chưa sắp xếp kích thước n là gì?,O(1),O(log n),O(n),O(n log n),option_c,medium,65,35,30
22,Cấu trúc dữ liệu & Giải thuật,Phân tích độ phức tạp,Phân tích amortized,Độ phức tạp thời gian (amortized) của việc chèn một phần tử vào cuối mảng động là bao nhiêu?,O(1),O(n),O(log n),O(n log n),option_a,medium,65,35,30
23,Cấu trúc dữ liệu & Giải thuật,Giải thuật,Đường đi ngắn nhất trên đồ thị,Thuật toán Dijkstra không xử lý đúng loại trọng số cạnh nào?,Trọng số dương,Trọng số bằng 0,Trọng số âm,Tất cả các đáp án trên,option_c,hard,35,65,45
24,Cấu trúc dữ liệu & Giải thuật,Giải thuật,Sắp xếp nhanh (Quick sort),Thuật toán sắp xếp nào có độ phức tạp trường hợp xấu nhất O(n^2) nhưng trung bình O(n log n) khi dùng pivot ngẫu nhiên?,Sắp xếp trộn (Merge sort),Sắp xếp vun đống (Heap sort),Sắp xếp nhanh (Quick sort),Sắp xếp chèn (Insertion sort),option_c,hard,35,65,45
25,Cấu trúc dữ liệu & Giải thuật,Giải thuật,Duyệt cây,Thứ tự duyệt nào của cây tìm kiếm nhị phân (BST) sẽ in các khóa theo thứ tự tăng dần?,Duyệt trước (Preorder),Duyệt giữa (Inorder),Duyệt sau (Postorder),Duyệt theo mức (Level-order),option_b,hard,35,65,45
26,Nhập môn Python,Biến và số học,Phép trừ số nguyên,Kết quả của lệnh sau là gì: print(10 - 4)?,5,6,7,8,option_b,easy,80,20,20
27,Nhập môn Python,Vòng lặp,Biểu thức và vòng lặp,"Kết quả của lệnh sau là gì?
x = [1,2,3]
print(len(x))",2,4,1,3,option_d,medium,60,40,35
28,Nhập môn Python,Vòng lặp,Biểu thức và vòng lặp,"Giá trị của 'x' sau lệnh này là gì?
x = 10
x += 5",5,15,10,14,option_b,medium,60,40,35
29,Nhập môn Python,Vòng lặp,Biểu thức và vòng lặp,"Vòng lặp sau in ra bao nhiêu lần?
for i in range(5):
    print(i)",4,3,5,6,option_c,medium,60,40,35
30,Nhập môn Python,Vòng lặp,Biểu thức và vòng lặp,"Kết quả của biểu thức sau là gì?
print(2 ** 3)",5,6,9,8,option_d,medium,60,40,35
31,Nhập môn Python,Vòng lặp,Biểu thức và vòng lặp,"Giá trị cuối cùng của 'total' sau khi chạy đoạn mã sau là bao nhiêu?
total = 0
for i in range(5):
    total += i",10,9,11,8,option_a,medium,60,40,35
32,Nhập môn Python,Vòng lặp,Biểu thức và vòng lặp,"Kết quả của lệnh sau là gì?
print(15 % 4)",4,3,2,1,option_b,medium,60,40,35
33,Nhập môn Python,Hàm và đệ quy,Hàm và biểu thức nâng cao,"Hàm sau sẽ trả về giá trị nào khi n = 7?
def f(n):
    if n == 0:
        return 1
    return n * f(n-1)",40320,5040,720,120,option_b,hard,30,70,50
34,Nhập môn Python,Hàm và đệ quy,Hàm và biểu thức nâng cao,"Hàm sau sẽ trả về giá trị nào khi n = 2?
def f(n):
    if n == 0:
        return 1
    return n * f(n-1)",2,1,3,4,option_a,hard,30,70,50
35,Nhập môn Python,Hàm và đệ quy,Hàm và biểu thức nâng cao,"Hàm lambda sau trả về gì khi x = 3?
f = lambda x: x**2 + 2*x + 1",16,7,10,9,option_a,hard,30,70,50
36,Nhập môn Python,Hàm và đệ quy,Hàm và biểu thức nâng cao,"Kết quả của đoạn mã sau là gì?
def double(lst):
    return [x * 2 for x in lst]
print(double([1,2,3]))","[1,2,3]","[2,3,4]","[2, 4, 6]","[3,4,5]",option_c,hard,30,70,50
37,Nhập môn Python,Hàm và đệ quy,Hàm và biểu thức nâng cao,"Đoạn mã sau in ra giá trị nào?
def fib(n):
    if n <= 1:
        return n
    return fib(n-1) + fib(n-2)
print(fib(6))",5,8,7,13,option_b,hard,30,70,50
38,Nhập môn Python,Hàm và đệ quy,Hàm và biểu thức nâng cao,"Hàm sau sẽ trả về giá trị nào khi n = 0?
def f(n):
    if n == 0:
        return 1
    return n * f(n-1)",2,0,-1,1,option_d,hard,30,70,50
39,Cấu trúc dữ liệu & Giải thuật,Cấu trúc dữ liệu cơ bản,Ngăn xếp (Stack),Ngăn xếp (Stack) hoạt động theo nguyên lý nào?,Ngẫu nhiên,Ưu tiên,LIFO (vào sau ra trước),FIFO (vào trước ra trước),option_c,easy,85,15,18
40,Cấu trúc dữ liệu & Giải thuật,Cấu trúc dữ liệu cơ bản,Danh sách liên kết,"Trong danh sách liên kết đơn, mỗi nút lưu trữ những gì?",Dữ liệu và con trỏ tới nút tiếp theo,Chỉ dữ liệu,Dữ liệu và hai con trỏ,Chỉ con trỏ,option_a,easy,85,15,18
41,Cấu trúc dữ liệu & Giải thuật,Cấu trúc dữ liệu cơ bản,Mảng (Array),Phép truy cập phần tử mảng theo chỉ số có độ phức tạp thời gian là bao nhiêu?,O(n²),O(1),O(log n),O(n),option_b,easy,85,15,18
42,Cấu trúc dữ liệu & Giải thuật,Cấu trúc dữ liệu cơ bản,Cây nhị phân,Một cây nhị phân có mỗi nút tối đa bao nhiêu nút con?,1,4,2,3,option_c,easy,85,15,18
43,Cấu trúc dữ liệu & Giải thuật,Cấu trúc dữ liệu cơ bản,Đồ thị (Graph),"Trong đồ thị vô hướng, cạnh nối hai đỉnh có hướng không?",Không,Chỉ có trọng số,Tùy loại đồ thị,Có,option_a,easy,85,15,18
44,Cấu trúc dữ liệu & Giải thuật,Cấu trúc dữ liệu cơ bản,Hàng đợi ưu tiên,Cấu trúc dữ liệu nào luôn trả về phần tử có độ ưu tiên cao nhất trước?,Hàng đợi ưu tiên (Priority Queue),Stack,Queue,Mảng,option_a,easy,85,15,18
45,Cấu trúc dữ liệu & Giải thuật,Cấu trúc dữ liệu cơ bản,Bảng băm (Hash map),Hàm băm (hash function) dùng để làm gì?,Tìm kiếm nhị phân,Sắp xếp phần tử,Duyệt đồ thị,Ánh xạ khóa thành chỉ số trong bảng băm,option_d,easy,85,15,18
46,Cấu trúc dữ liệu & Giải thuật,Phân tích độ phức tạp,Độ phức tạp thời gian,Độ phức tạp thời gian của thuật toán tìm kiếm nhị phân trên mảng đã sắp xếp là gì?,O(n),O(n log n),O(1),O(log n),option_d,medium,65,35,30
47,Cấu trúc dữ liệu & Giải thuật,Phân tích độ phức tạp,Độ phức tạp thời gian,Độ phức tạp thời gian của thuật toán sắp xếp nổi bọt (Bubble sort) trong trường hợp xấu nhất là gì?,O(log n),O(n log n),O(n),O(n²),option_d,medium,65,35,30
